fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR12;12;2006;11;121;83.2;2.2;1;1;479;464;NA;NA;NA;1;2;1;4;4;5;F5;12_10;12_11;12_11_2006;11
CHOR12;12;2012;11;121;83.2;2.2;1;1;480;468;NA;NA;NA;1;1;1;4;4;6;;12_11;12_11;12_11_2012;11
CHOR12;12;2006;12;101;82.1;4;3;6;154;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_11;12_12;12_12_2006;36
CHOR12;12;2012;12;101;82.1;4;9;7;150;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_12;12_12;12_12_2012;97
CHOR12;12;2006;13;121;82.7;6.7;1;1;295;304;NA;NA;NA;1;1;1;4;4;4;;12_12;12_13;12_13_2006;11
CHOR12;12;2012;13;121;82.7;6.7;1;1;300;318;NA;NA;NA;1;1;1;4;4;6;;12_13;12_13;12_13_2012;11
CHOR12;12;2006;14;101;81.7;10;1;1;357;372;NA;NA;NA;1;1;1;4;4;5;;12_13;12_14;12_14_2006;11
CHOR12;12;2012;14;101;81.7;10;1;1;360;375;NA;NA;NA;1;1;1;4;4;6;;12_14;12_14;12_14_2012;11
CHOR12;12;2006;15;121;86.6;3;1;1;438;424;NA;NA;NA;1;1;1;4;4;4;F5;12_14;12_15;12_15_2006;11
CHOR12;12;2012;15;121;86.6;3;3;6;440;425;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_15;12_15;12_15_2012;36
CHOR12;12;2006;16;121;83.5;6.6;3;7;241;238;NA;NA;NA;NA;NA;NA;NA;6;NA;;12_15;12_16;12_16_2006;37
CHOR12;12;2012;16;121;83.5;6.6;9;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_16;12_16;12_16_2012;95
CHOR12;12;2006;17;121;88.3;9;3;7;210;223;NA;NA;NA;NA;NA;NA;NA;6;NA;;12_16;12_17;12_17_2006;37
CHOR12;12;2012;17;121;88.3;9;9;7;210;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_17;12_17;12_17_2012;97
CHOR12;12;2006;18;101;87.5;6.2;1;1;163;164;NA;NA;NA;2;2;3;5;5;6;;12_17;12_18;12_18_2006;11
CHOR12;12;2012;18;101;87.5;6.2;1;1;165;165;NA;NA;NA;2;1;1;4;5;4;;12_18;12_18;12_18_2012;11
CHOR12;12;2006;19;121;90;2;3;6;367;380;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_18;12_19;12_19_2006;36
CHOR12;12;2012;19;121;90;2;9;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_19;12_19;12_19_2012;95
CHOR12;12;2006;20;121;90;3;3;7;303;300;NA;NA;NA;NA;NA;NA;NA;6;NA;;12_19;12_20;12_20_2006;37
CHOR12;12;2012;20;121;90;3;9;7;300;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_20;12_20;12_20_2012;97
